"Date(UTC)","Value"
"6/7/2020 2:40:00 PM","99913"
"6/7/2020 2:41:00 PM","99811"
"6/7/2020 2:42:00 PM","99721"
"6/7/2020 2:43:00 PM","99383"
"6/7/2020 2:44:00 PM","99940"
"6/7/2020 2:45:00 PM","99443"
"6/7/2020 2:46:00 PM","99444"
"6/7/2020 2:47:00 PM","99156"
"6/7/2020 2:48:00 PM","99049"
"6/7/2020 2:49:00 PM","99275"
"6/7/2020 2:50:00 PM","99207"
"6/7/2020 2:51:00 PM","99522"
"6/7/2020 2:52:00 PM","99722"
"6/7/2020 2:53:00 PM","99925"
"6/7/2020 2:54:00 PM","99820"
"6/7/2020 2:55:00 PM","99762"
"6/7/2020 2:56:00 PM","100293"
"6/7/2020 2:57:00 PM","99711"
"6/7/2020 2:58:00 PM","99564"
"6/7/2020 2:59:00 PM","99400"
"6/7/2020 3:00:00 PM","99770"
"6/7/2020 3:01:00 PM","99546"
"6/7/2020 3:02:00 PM","99581"
"6/7/2020 3:03:00 PM","99533"
"6/7/2020 3:04:00 PM","99537"
"6/7/2020 3:05:00 PM","99595"
"6/7/2020 3:06:00 PM","99435"
"6/7/2020 3:07:00 PM","99467"
"6/7/2020 3:08:00 PM","99472"
"6/7/2020 3:09:00 PM","99312"
"6/7/2020 3:10:00 PM","99161"
"6/7/2020 3:11:00 PM","98982"
"6/7/2020 3:12:00 PM","99112"
"6/7/2020 3:13:00 PM","99223"
"6/7/2020 3:14:00 PM","99109"
"6/7/2020 3:15:00 PM","99194"
"6/7/2020 3:16:00 PM","99285"
"6/7/2020 3:17:00 PM","99258"
"6/7/2020 3:18:00 PM","99259"
"6/7/2020 3:19:00 PM","99246"
"6/7/2020 3:20:00 PM","99470"
"6/7/2020 3:21:00 PM","99739"
"6/7/2020 3:22:00 PM","99839"
"6/7/2020 3:23:00 PM","99850"
"6/7/2020 3:24:00 PM","100380"
"6/7/2020 3:25:00 PM","99945"
"6/7/2020 3:26:00 PM","99693"
"6/7/2020 3:27:00 PM","99526"
"6/7/2020 3:28:00 PM","99576"
"6/7/2020 3:29:00 PM","99584"
"6/7/2020 3:30:00 PM","99287"
"6/7/2020 3:31:00 PM","99343"
"6/7/2020 3:32:00 PM","99489"
"6/7/2020 3:33:00 PM","99636"
"6/7/2020 3:34:00 PM","99622"
"6/7/2020 3:35:00 PM","99556"
"6/7/2020 3:36:00 PM","99929"
"6/7/2020 3:37:00 PM","99644"
"6/7/2020 3:38:00 PM","100058"
"6/7/2020 3:39:00 PM","100301"
"6/7/2020 3:40:00 PM","100108"
"6/7/2020 3:41:00 PM","100256"
"6/7/2020 3:42:00 PM","99937"
"6/7/2020 3:43:00 PM","99815"
"6/7/2020 3:44:00 PM","99569"
"6/7/2020 3:45:00 PM","100107"
"6/7/2020 3:46:00 PM","100160"
"6/7/2020 3:47:00 PM","100047"
"6/7/2020 3:48:00 PM","100068"
"6/7/2020 3:49:00 PM","100159"
"6/7/2020 3:50:00 PM","100347"
"6/7/2020 3:51:00 PM","100081"
"6/7/2020 3:52:00 PM","99686"
"6/7/2020 3:53:00 PM","99562"
"6/7/2020 3:54:00 PM","99549"
"6/7/2020 3:56:00 PM","99796"
"6/7/2020 3:57:00 PM","100323"
"6/7/2020 3:58:00 PM","99952"
"6/7/2020 3:59:00 PM","99997"
"6/7/2020 4:00:00 PM","99872"
"6/7/2020 4:01:00 PM","100142"
"6/7/2020 4:02:00 PM","100365"
"6/7/2020 4:03:00 PM","100647"
"6/7/2020 4:04:00 PM","101069"
"6/7/2020 4:05:00 PM","100880"
"6/7/2020 4:06:00 PM","100968"
"6/7/2020 4:07:00 PM","101343"
"6/7/2020 4:08:00 PM","101248"
"6/7/2020 4:09:00 PM","101283"
"6/7/2020 4:10:00 PM","99787"
"6/7/2020 4:11:00 PM","99042"
"6/7/2020 4:12:00 PM","98785"
"6/7/2020 4:13:00 PM","98803"
"6/7/2020 4:14:00 PM","98990"
"6/7/2020 4:15:00 PM","99039"
"6/7/2020 4:16:00 PM","98765"
"6/7/2020 4:17:00 PM","98894"
"6/7/2020 4:18:00 PM","98805"
"6/7/2020 4:19:00 PM","98465"
"6/7/2020 4:20:00 PM","98512"
"6/7/2020 4:21:00 PM","98321"
"6/7/2020 4:22:00 PM","98041"
"6/7/2020 4:23:00 PM","98237"
"6/7/2020 4:24:00 PM","97914"
"6/7/2020 4:25:00 PM","97644"
"6/7/2020 4:26:00 PM","97886"
"6/7/2020 4:27:00 PM","98412"
"6/7/2020 4:28:00 PM","98550"
"6/7/2020 4:29:00 PM","99116"
"6/7/2020 4:30:00 PM","98723"
"6/7/2020 4:31:00 PM","98825"
"6/7/2020 4:32:00 PM","98862"
"6/7/2020 4:33:00 PM","99083"
"6/7/2020 4:34:00 PM","99061"
"6/7/2020 4:35:00 PM","99059"
"6/7/2020 4:36:00 PM","99220"
"6/7/2020 4:37:00 PM","100019"
"6/7/2020 4:38:00 PM","99678"
"6/7/2020 4:39:00 PM","99464"
"6/7/2020 4:40:00 PM","99397"
"6/7/2020 4:41:00 PM","99126"
"6/7/2020 4:42:00 PM","99053"
"6/7/2020 4:43:00 PM","99120"
"6/7/2020 4:44:00 PM","99553"
"6/7/2020 4:45:00 PM","99270"
"6/7/2020 4:46:00 PM","99249"
"6/7/2020 4:47:00 PM","99071"
"6/7/2020 4:48:00 PM","99249"
"6/7/2020 4:49:00 PM","99116"
"6/7/2020 4:50:00 PM","99154"
"6/7/2020 4:51:00 PM","99089"
"6/7/2020 4:52:00 PM","98953"
"6/7/2020 4:53:00 PM","98782"
"6/7/2020 4:54:00 PM","98731"
"6/7/2020 4:55:00 PM","98737"
"6/7/2020 4:56:00 PM","99049"
"6/7/2020 4:57:00 PM","98815"
"6/7/2020 4:58:00 PM","98824"
"6/7/2020 4:59:00 PM","98643"
"6/7/2020 5:00:00 PM","98954"
"6/7/2020 5:01:00 PM","99395"
"6/7/2020 5:02:00 PM","99242"
"6/7/2020 5:03:00 PM","99153"
"6/7/2020 5:04:00 PM","99076"
"6/7/2020 5:05:00 PM","99404"
"6/7/2020 5:06:00 PM","99541"
"6/7/2020 5:07:00 PM","99360"
"6/7/2020 5:08:00 PM","99359"
"6/7/2020 5:09:00 PM","99401"
"6/7/2020 5:10:00 PM","99379"
"6/7/2020 5:11:00 PM","99275"
"6/7/2020 5:12:00 PM","98769"
"6/7/2020 5:13:00 PM","98637"
"6/7/2020 5:14:00 PM","98689"
"6/7/2020 5:15:00 PM","98650"
"6/7/2020 5:16:00 PM","98560"
"6/7/2020 5:17:00 PM","98394"
"6/7/2020 5:18:00 PM","98742"
"6/7/2020 5:19:00 PM","98478"
"6/7/2020 5:20:00 PM","98742"
"6/7/2020 5:21:00 PM","99376"
"6/7/2020 5:22:00 PM","98879"
"6/7/2020 5:23:00 PM","98903"
"6/7/2020 5:24:00 PM","98760"
"6/7/2020 5:25:00 PM","98721"
"6/7/2020 5:26:00 PM","98647"
"6/7/2020 5:27:00 PM","98764"
